"063403","3403","Lubricating Products"
"063404","3404","Waxes"
"063405","3405","Polishes and Creams"
"063406","3406","Candles"
"063407","3407","Pastes and Waxes"
"063501","3501","Casein"
"063502","3502","Water Soluble Proteins"
"063503","3503","Gelatin"
"063504","3504","Peptones"
"063505","3505","Dextrins"
"063506","3506","Glues"
"063507","3507","Enzymes"
"063601","3601","Propellant Powders"
"063602","3602","Prepared Explosives"
"063603","3603","Detonating Fuses"
"063604","3604","Fireworks"
"063605","3605","Matches"
"063606","3606","Pyrophoric Alloys"
"063701","3701","Photographic Plates"
"063702","3702","Photographic Film"
"063703","3703","Photographic Paper"
"063704","3704","Undeveloped Exposed Photographic Material"
"063705","3705","Developed Exposed Photographic Material"
"063706","3706","Motion-picture film, exposed and developed"
"063707","3707","Photographic Chemicals"
"063801","3801","Artificial Graphite"
"063802","3802","Activated Carbon"
"063803","3803","Tall Oil"
"063804","3804","Wood Pulp Lyes"
"063805","3805","Turpentine"
"063806","3806","Rosin"
"063807","3807","Wood Tar, Oils and Pitch"
"063808","3808","Pesticides"
"063809","3809","Dyeing Finishing Agents"
"063810","3810","Metal Pickling Preparations"
"063811","3811","Antiknock"
"063812","3812","Prepared Rubber Accelerators"
"063813","3813","Fire Extinguishers Preparations"
"063814","3814","Organic Composite Solvents"
"063815","3815","Reaction and Catalytic Products"
"063816","3816","Refractory Cements"
"063817","3817","Alkylbenzenes and Alkylnaphthalenes"
"063818","3818","Disc Chemicals for Electronics"
"063819","3819","Hydraulic Brake Fluid"
"063820","3820","Antifreeze"
"063821","3821","Micro-Organism Culture Preparations"
"063822","3822","Laboratory Reagents"
"063823","3823","Industrial Fatty Acids, Oils and Alcohols"
"073901","3901","Ethylene Polymers"
"073902","3902","Propylene Polymers"
"073903","3903","Styrene Polymers"
"073904","3904","Vinyl Chloride Polymers"
"073905","3905","Other Vinyl Polymers"
"073906","3906","Acrylic Polymers"
"073907","3907","Polyacetals"
"073908","3908","Polyamides"
"073909","3909","Amino-resins"
"073910","3910","Silicone"
"073911","3911","Petroleum Resins"
"073912","3912","Cellulose"
"073913","3913","Natural Polymers"
"073914","3914","Polymer Ion-Exchangers"
"073915","3915","Scrap Plastic"
"073916","3916","Monofilament"
"073917","3917","Plastic Pipes"
"073918","3918","Plastic Floor Coverings"
"073919","3919","Self-adhesive Plastics"
"073920","3920","Raw Plastic Sheeting"
"073921","3921","Other Plastic Sheetings"
"073922","3922","Plastic Wash Basins"
"073923","3923","Plastic Lids"
"073924","3924","Plastic Housewares"
"073925","3925","Plastic Building Materials"
"073926","3926","Other Plastic Products"
"074001","4001","Rubber"
"074002","4002","Synthetic Rubber"
"074003","4003","Reclaimed Rubber"
